place_id,name,address,latitude,longitude,rating,user_ratings_total,business_status,types,brand
ChIJGcO5my0tpg0RM8mrUhpMb8M,Station Service Winxo Avenir,"H944+V25, Casablanca",33.5571477,-7.644878400000002,3.8,864.0,OPERATIONAL,"gas_station, car_wash, grocery_or_supermarket, car_repair, restaurant, point_of_interest, food, store, establishment",Winxo
ChIJt2Lkey0tpg0Rl0gmyenn7bQ,Station Shell,"Route d'El Jadida, Casablanca",33.55794090000001,-7.6441428,3.7,152.0,OPERATIONAL,"gas_station, point_of_interest, store, establishment",Shell
ChIJFbJD8NHSpw0RQGdb02QnbAs,Shell Oasis,"Route d'El Jadida, Casablanca",33.566582,-7.644659999999999,3.8,195.0,OPERATIONAL,"gas_station, convenience_store, point_of_interest, food, store, establishment",Shell
ChIJPU20rqnTpw0Rg422OEVCRaM,PETROM Éléphant Bleu 24h/24,"H994+249, Route d'El Jadida, Casablanca",33.5675426,-7.6446304,3.1,15.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJGSgOz9HSpw0RyJZCwNlK2RE,TotalEnergies RIVIERA,"Rue Omar Al Khayam, Route d'El Jadida, Casablanca",33.5681994,-7.644730299999998,3.9,254.0,OPERATIONAL,"gas_station, car_wash, point_of_interest, establishment",TotalEnergies
ChIJbZFKmSfTpw0RB41n8bC8HXU,Shell,"Ile De France, Rue d'Ifrane, الدار البيضاء",33.5732486,-7.655815399999999,2.7,36.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
ChIJ_TusWM7Spw0RaaRnuNbhSgU,Station Service Petrom,H995+5FQ,33.5679507,-7.641276899999999,3.6,18.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJ08K13e_Tpw0RMwZtMhSODos,"Station Shell Hassania, Hay Hassani.","Croisement Boulevard Sidi Abderrahmane et, Boulevard Ibnou Sina, Casablanca",33.5714223,-7.668812099999999,4.1,100.0,OPERATIONAL,"gas_station, car_wash, cafe, point_of_interest, food, establishment",Shell
ChIJF3WF5MvSpw0RwxV_JbCtkA0,TotalEnergies GHANDI,"Boulevard Ghandi, Casablanca",33.5660385,-7.637688100000001,3.8,143.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJRxEkZMXSpw0RZbLbijp0CsE,TotalEnergies ROUTE DU SUD,"Boulevard Brahim Roudani, Casablanca",33.57218,-7.64222,3.7,168.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJgS6qQ_nTpw0RC8L7ypkotsw,Station Petrofan Hay al Hana,"H8GQ+887, Casablanca",33.5757867,-7.661701399999999,3.2,10.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrofan
ChIJNbMOsr3Tpw0RZO5OyMBn0xg,Petromi,"H978+H54, Boulevard Ghandi, Casablanca",33.5638851,-7.634562299999999,3.5,12.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJL_V2s1XNpw0RpVGACGT9woc,Station Shell,"Avenue 2 Mars, Casablanca",33.5663547,-7.609562800000001,3.9,207.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
ChIJE-6JM1Mtpg0RzXy3AxT4etY,Petrom,"9 Boulevard Modibo Keita, Maarif",33.5617952,-7.6185422,3.7,42.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJdS_9100tpg0RZBO8DdCP97g,Shell Station Taddart,"Route de Taddart, Casablanca",33.556148,-7.624232999999999,3.9,150.0,OPERATIONAL,"gas_station, car_wash, point_of_interest, establishment",Shell
ChIJwaQnBzMtpg0RvGEv2tl4-hM,Petromin Station Taddart,"route taddert hay bachkou ss bachkou 20000 casablanca el maarif maroc, Casablanca",33.5558873,-7.623732200000001,4.7,7.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petromin
ChIJCZaCei_Tpw0RmH-v44dhIc8,Afriquia ABDELMOUMEN I,"355 Boulevard Abdelmoumen, Casablanca",33.5660158,-7.626226799999999,,,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJLT-RwbPSpw0Rxh8zS1sbr9Q,Station Service Afriquia,"Boulevard Abdelmoumen, Casablanca",33.5661558,-7.6267057,3.3,182.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJnZW7iMrSpw0Rijwy8EcA62Y,Station Service Ziz,"H978+CFJ, Casablanca",33.5635822,-7.633848500000001,3.3,16.0,OPERATIONAL,"gas_station, point_of_interest, establishment",ZIZ
ChIJezprkTUtpg0Re7B4mMOI9ko,Petrom,Casablanca,33.5573336,-7.634031200000001,3.6,18.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJPa1Kk1TTpw0Ru7lVFIHQCSM,Station Shell,"Driss 1, شارع عبد المومن, الدار البيضاء",33.5718725,-7.625638500000001,3.7,20.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
ChIJ61QTCFXNpw0RwuQuYXhh-6c,Station Service Ola Energy,"H98R+37V, Avenue 2 Mars, Casablanca",33.5652359,-7.609337500000001,3.7,15.0,CLOSED_TEMPORARILY,"gas_station, point_of_interest, establishment",Ola Energy
ChIJnTq_gyXnpA0RCD06cjU77BA,TotalEnergies ABDELMOUMEN,"212 Boulevard Abdelmoumen, Casablanca",33.572989,-7.6261113,4.1,17.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
